timestamp,price_ds,wind_log,consump_log_ds,north_wind_log,d_congested,north_wind_cong,netexch_dk1,netexch_fi,netexch_no1,netexch_se2,netexch_se4
2025-02-12 04:00:00,-0.033514715912329684,6.023447592961033,0.018238546525608967,8.371704884667631,1.0,8.371704884667631,-153.9,-791.6,0.0,6986.9,-4651.8
2025-02-12 05:00:00,0.035627804597385015,5.978885764901122,0.017330186258936564,8.336390480591552,1.0,8.336390480591552,129.5,-786.0,0.0,7109.6,-4821.3
2025-02-12 06:00:00,0.13592011133959403,5.961005339623274,0.015407867342727144,8.292047637431354,1.0,8.292047637431354,685.0,-638.5,0.0,7134.7,-5085.7
2025-02-12 07:00:00,0.23638676947960136,5.937536205082426,0.012335048875703691,8.235360643753348,1.0,8.235360643753348,685.0,-424.4,0.0,6697.5,-4351.6
2025-02-12 08:00:00,0.323840004708269,5.857933154483459,0.011975360025537896,8.146129510025405,1.0,8.146129510025405,685.0,-448.8,0.0,6511.5,-4112.1
2025-02-12 09:00:00,0.27773051632565515,5.762051382780177,0.013839318476675189,8.035602692918582,1.0,8.035602692918582,685.0,-429.7,0.0,6866.5,-4479.3
2025-02-12 10:00:00,0.255476872935013,5.648974238161206,0.015460441624231436,7.850882664809852,1.0,7.850882664809852,685.0,-346.9,0.0,7052.7,-4686.7
2025-02-12 11:00:00,0.27809809373147676,5.497168225293202,0.02262762265272933,7.588829878307813,1.0,7.588829878307813,685.0,-569.7,0.0,6728.3,-4215.7
2025-02-12 12:00:00,0.29237277555040464,5.288267030694535,0.024567881743587705,7.323170717943469,1.0,7.323170717943469,635.4,-467.0,0.0,6831.7,-4385.2
2025-02-12 13:00:00,0.32584645374304344,5.099866427824199,0.02752010062727095,7.133295954896068,1.0,7.133295954896068,148.1,-383.7,0.0,7300.4,-4637.2
2025-02-12 14:00:00,0.38123123726626407,5.043425116919247,0.030882482639471576,7.017506142941256,1.0,7.017506142941256,12.2,-280.5,0.0,7600.3,-4909.8
2025-02-12 15:00:00,0.351375318402801,5.153291594497779,0.02705814779650062,7.059617628291383,1.0,7.059617628291383,-36.7,-209.0,0.0,7661.0,-4846.8
2025-02-12 16:00:00,0.3066487366299233,5.480638923341991,0.03162025601770857,7.149916836132109,1.0,7.149916836132109,307.8,-294.0,0.0,7334.5,-4600.0
2025-02-12 17:00:00,0.228001844624516,5.808142489980444,0.028657289837751065,7.226209010100671,1.0,7.226209010100671,-292.2,-248.2,0.0,7555.7,-4014.2
2025-02-12 18:00:00,0.30168257932078824,6.063785208687608,0.03635989234838277,7.277938572945661,1.0,7.277938572945661,-676.2,-249.4,0.0,7467.6,-3801.5
2025-02-12 19:00:00,0.2814365026791954,6.2166061010848646,0.029591033970422842,7.299797366758161,1.0,7.299797366758161,-715.0,-377.8,0.0,7556.1,-3985.2
2025-02-12 20:00:00,0.3006906235101727,6.315358001522335,0.028425967102773342,7.272398392570047,1.0,7.272398392570047,-589.3,-340.6,0.0,7484.3,-4293.4
2025-02-12 21:00:00,0.25184538036631654,6.395261598115449,0.02727568528892199,7.227662498728654,1.0,7.227662498728654,-597.6,-493.6,0.0,7474.1,-4496.0
2025-02-12 22:00:00,0.284423330352249,6.448889394146858,0.0206434552232988,7.195937226475569,1.0,7.195937226475569,-402.7,-668.9,0.0,7443.9,-4856.7
2025-02-12 23:00:00,0.11885949563571518,6.484635235635252,0.017513683113827838,7.207118856207756,1.0,7.207118856207756,-715.0,-724.3,0.0,7593.1,-4853.1
2025-02-13 00:00:00,0.27089651809026094,6.424869023905388,0.017564667775420872,7.517520850603031,1.0,7.517520850603031,-715.0,-915.9,0.0,7707.3,-4896.1
