timestamp,spread_se2_se1,spread_se2_se3,price_se1_raw,price_se2_raw,price_se3_raw,wind_log,consump_log_ds,post_fbmc,wind_post_fbmc
2024-12-18 17:00:00,0.1999999999999993,-19.78,9.55,9.75,29.53,8.508757712595136,0.02105388462933444,1,8.508757712595136
2024-12-18 18:00:00,0.14999999999999858,-18.39,9.47,9.62,28.01,8.507950610049305,0.027588166213742937,1,8.507950610049305
2024-12-18 19:00:00,0.7799999999999994,-7.620000000000001,11.63,12.41,20.03,8.491259809389733,0.028552753946661902,1,8.491259809389733
2024-12-18 20:00:00,0.17999999999999972,-0.5,9.32,9.5,10.0,8.469472455204826,0.019184060530529123,1,8.469472455204826
2024-12-18 21:00:00,-0.08000000000000007,0.22999999999999954,7.42,7.34,7.11,8.436200032206706,0.019506280229854234,1,8.436200032206706
2024-12-18 22:00:00,-0.25,0.6699999999999999,5.75,5.5,4.83,8.392763113038061,0.025050995922669905,1,8.392763113038061
2024-12-18 23:00:00,-0.3299999999999996,1.2500000000000002,3.32,2.99,1.74,8.252446090246952,-0.0012566089820840176,1,8.252446090246952
2024-12-19 00:00:00,-0.3500000000000001,1.08,2.64,2.29,1.21,8.15162164696975,-0.012437891058374895,1,8.15162164696975
2024-12-19 01:00:00,-0.22999999999999998,0.8,2.1,1.87,1.07,8.053251153549096,-0.01756357921998042,1,8.053251153549096
2024-12-19 02:00:00,0.04999999999999982,0.10999999999999988,2.79,2.84,2.73,7.957527402230773,-0.011430009802479546,1,7.957527402230773
2024-12-19 03:00:00,0.1499999999999999,-0.040000000000000036,1.58,1.73,1.77,7.803435056952168,-0.01711802679108576,1,7.803435056952168
2024-12-19 04:00:00,-0.010000000000000009,0.33999999999999997,0.91,0.9,0.56,7.672292455628756,-0.023897968625621324,1,7.672292455628756
2024-12-19 05:00:00,-0.2599999999999998,0.8800000000000003,3.75,3.49,2.61,7.609862200913554,-0.026223602659573686,1,7.609862200913554
2024-12-19 06:00:00,0.02999999999999936,-0.09999999999999964,8.15,8.18,8.28,7.579678823090456,-0.004064677360749336,1,7.579678823090456
2024-12-19 07:00:00,1.8999999999999986,-2.2300000000000004,16.32,18.22,20.45,7.507690077819904,0.022064954309861662,1,7.507690077819904
2024-12-19 08:00:00,1.070000000000002,-12.11,15.44,16.51,28.62,7.469083884921234,0.01791603557089072,1,7.469083884921234
2024-12-19 09:00:00,0.07000000000000028,-16.520000000000003,14.6,14.67,31.19,7.503840746698951,0.005321258137088947,1,7.503840746698951
2024-12-19 10:00:00,1.0299999999999994,-18.0,12.21,13.24,31.24,7.556427969440253,0.003411442011435284,1,7.556427969440253
2024-12-19 11:00:00,0.4499999999999993,-19.68,12.16,12.61,32.29,7.579167967396076,-0.015789346848490204,1,7.579167967396076
2024-12-19 12:00:00,0.6199999999999992,-17.87,13.17,13.79,31.66,7.571473648851271,-0.010167861517246912,1,7.571473648851271
2024-12-19 13:00:00,0.5199999999999996,-16.730000000000004,13.35,13.87,30.6,7.575584651557793,-0.019480195838714742,1,7.575584651557793
2024-12-19 14:00:00,0.46000000000000085,-14.950000000000001,14.19,14.65,29.6,7.59337419312129,0.005248820357920181,1,7.59337419312129
2024-12-19 15:00:00,-0.010000000000001563,-15.720000000000002,14.3,14.29,30.01,7.586803535162581,0.0042418342803953735,1,7.586803535162581
2024-12-19 16:00:00,-0.15000000000000036,-17.9,13.88,13.73,31.63,7.535830462798367,0.0009781439851384022,1,7.535830462798367
2024-12-19 17:00:00,-0.08999999999999986,-16.45,14.66,14.57,31.02,7.4798641311650265,0.0020269725210599887,1,7.4798641311650265
2024-12-19 18:00:00,0.10999999999999943,-11.82,16.7,16.81,28.63,7.3758821482150125,-0.001926604793884401,1,7.3758821482150125
2024-12-19 19:00:00,0.5,-4.59,19.72,20.22,24.81,7.313886831633462,0.0171750728069604,1,7.313886831633462
2024-12-19 20:00:00,0.7900000000000027,-1.75,19.4,20.19,21.94,7.291656209174461,0.014806220819605365,1,7.291656209174461
2024-12-19 21:00:00,0.46000000000000085,-1.6600000000000001,18.98,19.44,21.1,7.340186835320115,0.005973241889147829,1,7.340186835320115
2024-12-19 22:00:00,0.46999999999999886,-1.610000000000003,17.43,17.9,19.51,7.4645098346365275,0.004281116065659063,1,7.4645098346365275
2024-12-19 23:00:00,0.5099999999999998,-1.7600000000000016,15.92,16.43,18.19,7.577633832602728,0.0015851498673233877,1,7.577633832602728
2024-12-20 00:00:00,0.4299999999999997,-1.4300000000000015,14.76,15.19,16.62,7.260522598089852,0.024336745434056617,1,7.260522598089852
2024-12-20 01:00:00,0.4599999999999991,-1.5600000000000005,13.49,13.95,15.51,7.29776828253138,0.03014143540541614,1,7.29776828253138
