zone,year,variable,adf_stat,adf_pval,adf_lags,adf_stationary,dfgls_stat,dfgls_pval,dfgls_stationary
SE3,2017,consump_log_ds,-7.8143,0.0,35,True,-1.5139,0.1264,False
SE3,2017,oil_log,-1.0234,0.7446,4,False,-1.062,0.2683,False
SE3,2017,gas_log,-0.728,0.8394,0,False,-0.7897,0.3842,False
SE3,2017,netexch_dk1,-11.891,0.0,26,True,-11.4941,0.0,True
SE3,2017,netexch_fi,-9.2034,0.0,33,True,-5.0037,0.0,True
SE3,2017,netexch_no1,-8.1294,0.0,36,True,-5.0299,0.0,True
SE3,2017,netexch_se2,-10.2526,0.0,33,True,-2.4727,0.0136,True
SE3,2017,netexch_se4,-10.3077,0.0,33,True,-3.8746,0.0001,True
SE3,2018,price_ds,-9.756,0.0,29,True,-4.7122,0.0,True
SE3,2018,wind_log,-9.23,0.0,37,True,-6.4787,0.0,True
SE3,2018,hydro_log_ds,-5.2759,0.0,24,True,-4.2116,0.0,True
SE3,2018,consump_log_ds,-8.1093,0.0,24,True,-7.8096,0.0,True
SE3,2018,oil_log,0.4699,0.9839,30,False,-0.1249,0.6489,False
SE3,2018,gas_log,-1.2022,0.6726,0,False,-0.4595,0.5169,False
SE3,2018,netexch_dk1,-9.4953,0.0,34,True,-5.0796,0.0,True
SE3,2018,netexch_fi,-7.7761,0.0,35,True,-4.4214,0.0,True
SE3,2018,netexch_no1,-8.4384,0.0,36,True,-4.9024,0.0,True
SE3,2018,netexch_se2,-7.5138,0.0,33,True,-3.0932,0.0021,True
SE3,2018,netexch_se4,-9.5213,0.0,36,True,-3.5688,0.0004,True
SE3,2019,price_ds,-10.6079,0.0,31,True,-10.5965,0.0,True
SE3,2019,wind_log,-9.7983,0.0,35,True,-4.176,0.0,True
SE3,2019,hydro_log_ds,-6.1581,0.0,0,True,-4.2062,0.0,True
SE3,2019,consump_log_ds,-6.9544,0.0,34,True,-4.8701,0.0,True
SE3,2019,oil_log,-3.2711,0.0162,8,True,0.0228,0.7014,False
SE3,2019,gas_log,-2.0689,0.2572,0,False,0.0127,0.698,False
SE3,2019,netexch_dk1,-7.507,0.0,34,True,-7.48,0.0,True
SE3,2019,netexch_fi,-9.9526,0.0,25,True,-8.9447,0.0,True
SE3,2019,netexch_no1,-8.6323,0.0,26,True,-6.7194,0.0,True
SE3,2019,netexch_se2,-10.6657,0.0,36,True,-2.6553,0.0081,True
SE3,2019,netexch_se4,-11.3101,0.0,37,True,-3.5267,0.0005,True
SE3,2020,price_ds,-8.8988,0.0,26,True,-6.1778,0.0,True
SE3,2020,wind_log,-9.1541,0.0,37,True,-6.035,0.0,True
SE3,2020,hydro_log_ds,-5.7296,0.0,24,True,-3.6287,0.0003,True
SE3,2020,consump_log_ds,-8.7267,0.0,30,True,-8.5928,0.0,True
SE3,2020,oil_log,-1.9773,0.2966,36,False,-0.8456,0.359,False
SE3,2020,gas_log,0.5474,0.9862,1,False,-0.1175,0.6517,False
SE3,2020,netexch_dk1,-10.5208,0.0,36,True,-4.613,0.0,True
SE3,2020,netexch_fi,-8.2618,0.0,33,True,-3.1114,0.002,True
SE3,2020,netexch_no1,-7.9818,0.0,25,True,-2.9161,0.0037,True
SE3,2020,netexch_se2,-12.1197,0.0,31,True,-5.0867,0.0,True
SE3,2020,netexch_se4,-10.0736,0.0,34,True,-9.9977,0.0,True
SE3,2021,price_ds,-9.6413,0.0,36,True,-8.881,0.0,True
SE3,2021,wind_log,-10.3758,0.0,35,True,-5.9382,0.0,True
SE3,2021,hydro_log_ds,-4.8499,0.0,0,True,-3.0021,0.0028,True
SE3,2021,consump_log_ds,-6.0414,0.0,37,True,-2.5803,0.01,True
SE3,2021,oil_log,-2.4191,0.1364,28,False,0.422,0.8189,False
SE3,2021,gas_log,-0.4277,0.9054,0,False,0.8456,0.9028,False
SE3,2021,netexch_dk1,-6.3921,0.0,31,True,-3.4865,0.0005,True
SE3,2021,netexch_fi,-8.9419,0.0,33,True,-7.6341,0.0,True
SE3,2021,netexch_no1,-9.7091,0.0,28,True,-9.014,0.0,True
SE3,2021,netexch_se2,-8.571,0.0,30,True,-6.7045,0.0,True
SE3,2021,netexch_se4,-8.0959,0.0,26,True,-4.098,0.0001,True
SE3,2022,price_ds,-10.0537,0.0,34,True,-7.0859,0.0,True
SE3,2022,wind_log,-10.3002,0.0,27,True,-8.7261,0.0,True
SE3,2022,hydro_log_ds,-5.632,0.0,24,True,-2.0458,0.0406,True
SE3,2022,consump_log_ds,-6.7349,0.0,34,True,-6.3743,0.0,True
SE3,2022,oil_log,-1.9691,0.3003,29,False,-0.9893,0.2973,False
SE3,2022,gas_log,-1.5521,0.5076,0,False,-1.219,0.2112,False
SE3,2022,netexch_dk1,-8.8238,0.0,31,True,-8.786,0.0,True
SE3,2022,netexch_fi,-8.1469,0.0,33,True,-8.1196,0.0,True
SE3,2022,netexch_no1,-8.36,0.0,28,True,-7.6254,0.0,True
SE3,2022,netexch_se2,-10.0671,0.0,26,True,-9.312,0.0,True
SE3,2022,netexch_se4,-8.6284,0.0,30,True,-5.8069,0.0,True
SE3,2023,price_ds,-9.3528,0.0,24,True,-4.0013,0.0001,True
SE3,2023,wind_log,-9.4758,0.0,26,True,-9.2904,0.0,True
SE3,2023,hydro_log_ds,-5.0816,0.0,0,True,-4.6701,0.0,True
SE3,2023,consump_log_ds,-6.3162,0.0,34,True,-3.8908,0.0001,True
SE3,2023,oil_log,-2.0369,0.2706,8,False,-1.668,0.0935,False
SE3,2023,gas_log,-2.4979,0.116,24,False,-0.1428,0.6423,False
SE3,2023,netexch_dk1,-10.6743,0.0,27,True,-4.447,0.0,True
SE3,2023,netexch_fi,-10.9025,0.0,24,True,-6.4589,0.0,True
SE3,2023,netexch_no1,-9.3843,0.0,30,True,-4.2826,0.0,True
SE3,2023,netexch_se2,-8.408,0.0,30,True,-4.3052,0.0,True
SE3,2023,netexch_se4,-10.2438,0.0,31,True,-3.3624,0.0008,True
SE3,2024,price_ds,-9.8818,0.0,24,True,-9.8782,0.0,True
SE3,2024,wind_log,-9.6568,0.0,28,True,-5.5572,0.0,True
SE3,2024,hydro_log_ds,-5.5566,0.0,0,True,-2.6076,0.0093,True
SE3,2024,consump_log_ds,-7.4734,0.0,29,True,-7.4625,0.0,True
